"strain","gene_id","go_level","go_description","go_id"
"Synechocystis","sll0428","Molecular Function","iron ion binding","GO:0005506"
"Synechocystis","sll0428","Molecular Function","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO:0016705"
"Synechocystis","sll0430","Biological Process","protein folding","GO:0006457"
"Synechocystis","sll0430","Biological Process","response to stress","GO:0006950"
"Synechocystis","sll0430","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0430","Molecular Function","unfolded protein binding","GO:0051082"
"Synechocystis","sll0441","Biological Process","DNA repair","GO:0006281"
"Synechocystis","sll0441","Cellular Component","intracellular","GO:0005622"
"Synechocystis","sll0441","Molecular Function","nuclease activity","GO:0004518"
"Synechocystis","sll0451","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0451","Molecular Function","N-acetyltransferase activity","GO:0008080"
"Synechocystis","sll0454","Biological Process","phenylalanyl-tRNA aminoacylation","GO:0006432"
"Synechocystis","sll0454","Biological Process","tRNA aminoacylation for protein translation","GO:0006418"
"Synechocystis","sll0454","Biological Process","translation","GO:0006412"
"Synechocystis","sll0454","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0454","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0454","Molecular Function","aminoacyl-tRNA ligase activity","GO:0004812"
"Synechocystis","sll0454","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0454","Molecular Function","phenylalanine-tRNA ligase activity","GO:0004826"
"Synechocystis","sll0454","Molecular Function","tRNA binding","GO:0000049"
"Synechocystis","sll0455","Biological Process","cellular amino acid metabolic process","GO:0006520"
"Synechocystis","sll0455","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0455","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0455","Molecular Function","NADP or NADPH binding","GO:0050661"
"Synechocystis","sll0455","Molecular Function","amino acid binding","GO:0016597"
"Synechocystis","sll0455","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0455","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0455","Molecular Function","homoserine dehydrogenase activity","GO:0004412"
"Synechocystis","sll0455","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0456","Biological Process","cellular metabolic process","GO:0044237"
"Synechocystis","sll0456","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0456","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0456","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0456","Molecular Function","coenzyme binding","GO:0050662"
"Synechocystis","sll0459","Biological Process","DNA repair","GO:0006281"
"Synechocystis","sll0459","Biological Process","SOS response","GO:0009432"
"Synechocystis","sll0459","Biological Process","nucleotide-excision repair","GO:0006289"
"Synechocystis","sll0459","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0459","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0459","Molecular Function","excinuclease ABC activity","GO:0009381"
"Synechocystis","sll0459","Molecular Function","helicase activity","GO:0004386"
"Synechocystis","sll0459","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0459","Molecular Function","nuclease activity","GO:0004518"
"Synechocystis","sll0459","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","sll0461","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0461","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0461","Biological Process","proline biosynthetic process","GO:0006561"
"Synechocystis","sll0461","Molecular Function","NADP or NADPH binding","GO:0050661"
"Synechocystis","sll0461","Molecular Function","glutamate-5-semialdehyde dehydrogenase activity","GO:0004350"
"Synechocystis","sll0461","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0467","Biological Process","queuosine biosynthetic process","GO:0008616"
"Synechocystis","sll0467","Molecular Function","isomerase activity","GO:0016853"
"Synechocystis","sll0467","Molecular Function","transferase activity","GO:0016740"
"Synechocystis","sll0469","Biological Process","cellular biosynthetic process","GO:0044249"
"Synechocystis","sll0469","Biological Process","nucleoside metabolic process","GO:0009116"
"Synechocystis","sll0469","Biological Process","nucleotide biosynthetic process","GO:0009165"
"Synechocystis","sll0469","Biological Process","ribonucleoside monophosphate biosynthetic process","GO:0009156"
"Synechocystis","sll0469","Molecular Function","magnesium ion binding","GO:0000287"
"Synechocystis","sll0469","Molecular Function","ribose phosphate diphosphokinase activity","GO:0004749"
"Synechocystis","sll0471","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0471","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0471","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0474","Biological Process","peptidyl-histidine phosphorylation","GO:0018106"
"Synechocystis","sll0474","Biological Process","phosphorylation","GO:0016310"
"Synechocystis","sll0474","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0474","Biological Process","signal transduction","GO:0007165"
"Synechocystis","sll0474","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","sll0474","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0474","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0474","Molecular Function","protein histidine kinase activity","GO:0004673"
"Synechocystis","sll0474","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","sll0474","Molecular Function","transferase activity, transferring phosphorus-containing groups","GO:0016772"
"Synechocystis","sll0474","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","sll0474","Molecular Function","two-component sensor activity","GO:0000155"
"Synechocystis","sll0477","Biological Process","transport","GO:0006810"
"Synechocystis","sll0477","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0477","Molecular Function","protein transporter activity","GO:0008565"
"Synechocystis","sll0478","Biological Process","transport","GO:0006810"
"Synechocystis","sll0478","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0478","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0479","Biological Process","transport","GO:0006810"
"Synechocystis","sll0479","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0479","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0480","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","sll0480","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0480","Molecular Function","pyridoxal phosphate binding","GO:0030170"
"Synechocystis","sll0480","Molecular Function","transferase activity, transferring nitrogenous groups","GO:0016769"
"Synechocystis","sll0484","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0484","Molecular Function","ATPase activity","GO:0016887"
"Synechocystis","sll0484","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0484","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0485","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0485","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","sll0485","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","sll0486","Biological Process","rhythmic process","GO:0048511"
"Synechocystis","sll0489","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0489","Molecular Function","ATPase activity","GO:0016887"
"Synechocystis","sll0489","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0489","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0493","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0493","Biological Process","potassium ion transport","GO:0006813"
"Synechocystis","sll0493","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0493","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0493","Molecular Function","cation transmembrane transporter activity","GO:0008324"
"Synechocystis","sll0496","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","sll0499","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0502","Biological Process","arginyl-tRNA aminoacylation","GO:0006420"
"Synechocystis","sll0502","Biological Process","tRNA aminoacylation for protein translation","GO:0006418"
"Synechocystis","sll0502","Biological Process","translation","GO:0006412"
"Synechocystis","sll0502","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0502","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0502","Molecular Function","aminoacyl-tRNA ligase activity","GO:0004812"
"Synechocystis","sll0502","Molecular Function","arginine-tRNA ligase activity","GO:0004814"
"Synechocystis","sll0502","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0503","Cellular Component","intracellular","GO:0005622"
"Synechocystis","sll0503","Molecular Function","GTP binding","GO:0005525"
"Synechocystis","sll0504","Biological Process","lysine biosynthetic process via diaminopimelate","GO:0009089"
"Synechocystis","sll0504","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0504","Molecular Function","diaminopimelate decarboxylase activity","GO:0008836"
"Synechocystis","sll0506","Molecular Function","transferase activity, transferring alkyl or aryl (other than methyl) groups","GO:0016765"
"Synechocystis","sll0507","Biological Process","cobalt ion transport","GO:0006824"
"Synechocystis","sll0507","Biological Process","magnesium ion transport","GO:0015693"
"Synechocystis","sll0507","Biological Process","metal ion transport","GO:0030001"
"Synechocystis","sll0507","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","sll0507","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0507","Molecular Function","cobalt ion transmembrane transporter activity","GO:0015087"
"Synechocystis","sll0507","Molecular Function","magnesium ion transmembrane transporter activity","GO:0015095"
"Synechocystis","sll0507","Molecular Function","metal ion transmembrane transporter activity","GO:0046873"
"Synechocystis","sll0509","Molecular Function","ATP adenylyltransferase activity","GO:0003877"
"Synechocystis","sll0509","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0509","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0513","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","sll0513","Molecular Function","transferase activity","GO:0016740"
"Synechocystis","sll0514","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0517","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","sll0517","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0519","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0519","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0520","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0520","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0520","Molecular Function","4 iron, 4 sulfur cluster binding","GO:0051539"
"Synechocystis","sll0520","Molecular Function","NADH dehydrogenase (ubiquinone) activity","GO:0008137"
"Synechocystis","sll0520","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","sll0520","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","sll0520","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0520","Molecular Function","oxidoreductase activity, acting on NADH or NADPH","GO:0016651"
"Synechocystis","sll0521","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0521","Molecular Function","NADH dehydrogenase (ubiquinone) activity","GO:0008137"
"Synechocystis","sll0528","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0528","Molecular Function","metalloendopeptidase activity","GO:0004222"
"Synechocystis","sll0529","Biological Process","carbohydrate metabolic process","GO:0005975"
"Synechocystis","sll0529","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0529","Molecular Function","aldehyde-lyase activity","GO:0016832"
"Synechocystis","sll0529","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0533","Biological Process","protein folding","GO:0006457"
"Synechocystis","sll0533","Biological Process","protein transport","GO:0015031"
"Synechocystis","sll0534","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0534","Molecular Function","serine-type endopeptidase activity","GO:0004252"
"Synechocystis","sll0535","Biological Process","protein folding","GO:0006457"
"Synechocystis","sll0535","Biological Process","protein metabolic process","GO:0019538"
"Synechocystis","sll0535","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0535","Molecular Function","ATPase activity","GO:0016887"
"Synechocystis","sll0535","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0535","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0535","Molecular Function","protein dimerization activity","GO:0046983"
"Synechocystis","sll0535","Molecular Function","unfolded protein binding","GO:0051082"
"Synechocystis","sll0535","Molecular Function","zinc ion binding","GO:0008270"
"Synechocystis","sll0536","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0536","Biological Process","potassium ion transport","GO:0006813"
"Synechocystis","sll0536","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0536","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0536","Molecular Function","cation transmembrane transporter activity","GO:0008324"
"Synechocystis","sll0537","Biological Process","signal transduction","GO:0007165"
"Synechocystis","sll0537","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","sll0537","Biological Process","transport","GO:0006810"
"Synechocystis","sll0537","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","sll0537","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0537","Molecular Function","ammonium transmembrane transporter activity","GO:0008519"
"Synechocystis","sll0537","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","sll0542","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0542","Molecular Function","AMP binding","GO:0016208"
"Synechocystis","sll0542","Molecular Function","acetate-CoA ligase activity","GO:0003987"
"Synechocystis","sll0542","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0544","Biological Process","DNA replication","GO:0006260"
"Synechocystis","sll0544","Cellular Component","DNA polymerase III complex","GO:0009360"
"Synechocystis","sll0544","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0544","Molecular Function","DNA-directed DNA polymerase activity","GO:0003887"
"Synechocystis","sll0545","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0545","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0546","Biological Process","translation","GO:0006412"
"Synechocystis","sll0546","Biological Process","translational initiation","GO:0006413"
"Synechocystis","sll0546","Molecular Function","translation initiation factor activity","GO:0003743"
"Synechocystis","sll0549","Biological Process","DNA replication","GO:0006260"
"Synechocystis","sll0549","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0549","Molecular Function","DNA-directed DNA polymerase activity","GO:0003887"
"Synechocystis","sll0549","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0550","Molecular Function","FMN binding","GO:0010181"
"Synechocystis","sll0550","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0550","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0554","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0554","Molecular Function","ferredoxin reductase activity","GO:0008937"
"Synechocystis","sll0556","Biological Process","cation transport","GO:0006812"
"Synechocystis","sll0556","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0556","Biological Process","potassium ion transport","GO:0006813"
"Synechocystis","sll0556","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","sll0556","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","sll0556","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0556","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0556","Molecular Function","solute hydrogen antiporter activity","GO:0015299"
"Synechocystis","sll0567","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0567","Molecular Function","transcription factor activity","GO:0003700"
"Synechocystis","sll0569","Biological Process","DNA metabolic process","GO:0006259"
"Synechocystis","sll0569","Biological Process","DNA repair","GO:0006281"
"Synechocystis","sll0569","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0569","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0569","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0569","Molecular Function","DNA-dependent ATPase activity","GO:0008094"
"Synechocystis","sll0569","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0569","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0569","Molecular Function","single-stranded DNA binding","GO:0003697"
"Synechocystis","sll0573","Biological Process","arginine metabolic process","GO:0006525"
"Synechocystis","sll0573","Biological Process","cellular amino acid biosynthetic process","GO:0008652"
"Synechocystis","sll0573","Molecular Function","carbamate kinase activity","GO:0008804"
"Synechocystis","sll0574","Biological Process","transport","GO:0006810"
"Synechocystis","sll0574","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0574","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0574","Molecular Function","ATPase activity, coupled to transmembrane movement of substances","GO:0042626"
"Synechocystis","sll0575","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0575","Molecular Function","ATPase activity","GO:0016887"
"Synechocystis","sll0575","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0575","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0576","Biological Process","cellular metabolic process","GO:0044237"
"Synechocystis","sll0576","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0576","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0576","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0576","Molecular Function","coenzyme binding","GO:0050662"
"Synechocystis","sll0578","Biological Process","'de novo' IMP biosynthetic process","GO:0006189"
"Synechocystis","sll0578","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0578","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0578","Molecular Function","phosphoribosylaminoimidazole carboxylase activity","GO:0004638"
"Synechocystis","sll0590","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","sll0590","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0593","Biological Process","glycolysis","GO:0006096"
"Synechocystis","sll0593","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0593","Molecular Function","glucokinase activity","GO:0004340"
"Synechocystis","sll0594","Biological Process","regulation of transcription","GO:0045449"
"Synechocystis","sll0594","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0594","Cellular Component","intracellular","GO:0005622"
"Synechocystis","sll0594","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0594","Molecular Function","transcription factor activity","GO:0003700"
"Synechocystis","sll0597","Biological Process","cytochrome complex assembly","GO:0017004"
"Synechocystis","sll0597","Biological Process","heme transport","GO:0015886"
"Synechocystis","sll0597","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0597","Molecular Function","heme transporter activity","GO:0015232"
"Synechocystis","sll0601","Biological Process","nitrogen compound metabolic process","GO:0006807"
"Synechocystis","sll0601","Molecular Function","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810"
"Synechocystis","sll0602","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0603","Biological Process","menaquinone biosynthetic process","GO:0009234"
"Synechocystis","sll0603","Molecular Function","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity","GO:0070204"
"Synechocystis","sll0603","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0603","Molecular Function","thiamin pyrophosphate binding","GO:0030976"
"Synechocystis","sll0613","Biological Process","DNA recombination","GO:0006310"
"Synechocystis","sll0613","Biological Process","DNA repair","GO:0006281"
"Synechocystis","sll0613","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0613","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0613","Molecular Function","four-way junction helicase activity","GO:0009378"
"Synechocystis","sll0613","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0613","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0615","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0616","Biological Process","intracellular protein transport","GO:0006886"
"Synechocystis","sll0616","Biological Process","protein import","GO:0017038"
"Synechocystis","sll0616","Biological Process","protein targeting","GO:0006605"
"Synechocystis","sll0616","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0616","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0616","Molecular Function","protein binding","GO:0005515"
"Synechocystis","sll0621","Biological Process","cytochrome complex assembly","GO:0017004"
"Synechocystis","sll0621","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0621","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0622","Biological Process","NAD biosynthetic process","GO:0009435"
"Synechocystis","sll0622","Molecular Function","quinolinate synthetase A activity","GO:0008987"
"Synechocystis","sll0337","Biological Process","peptidyl-histidine phosphorylation","GO:0018106"
"Synechocystis","sll0337","Biological Process","phosphorylation","GO:0016310"
"Synechocystis","sll0337","Biological Process","signal transduction","GO:0007165"
"Synechocystis","sll0337","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0337","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0337","Molecular Function","protein histidine kinase activity","GO:0004673"
"Synechocystis","sll0337","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","sll0337","Molecular Function","transferase activity, transferring phosphorus-containing groups","GO:0016772"
"Synechocystis","sll0337","Molecular Function","two-component sensor activity","GO:0000155"
"Synechocystis","sll0370","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0370","Biological Process","nitrogen compound metabolic process","GO:0006807"
"Synechocystis","sll0370","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0370","Molecular Function","carbamoyl-phosphate synthase activity","GO:0004086"
"Synechocystis","sll0370","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0377","Biological Process","DNA repair","GO:0006281"
"Synechocystis","sll0377","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0377","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0377","Molecular Function","ATP-dependent helicase activity","GO:0008026"
"Synechocystis","sll0377","Molecular Function","damaged DNA binding","GO:0003684"
"Synechocystis","sll0377","Molecular Function","helicase activity","GO:0004386"
"Synechocystis","sll0377","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","sll0377","Molecular Function","transcription factor activity","GO:0003700"
"Synechocystis","sll0408","Biological Process","protein folding","GO:0006457"
"Synechocystis","sll0408","Molecular Function","peptidyl-prolyl cis-trans isomerase activity","GO:0003755"
"Synechocystis","sll0495","Biological Process","asparaginyl-tRNA aminoacylation","GO:0006421"
"Synechocystis","sll0495","Biological Process","aspartyl-tRNA aminoacylation","GO:0006422"
"Synechocystis","sll0495","Biological Process","tRNA aminoacylation for protein translation","GO:0006418"
"Synechocystis","sll0495","Biological Process","translation","GO:0006412"
"Synechocystis","sll0495","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0495","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0495","Molecular Function","aminoacyl-tRNA ligase activity","GO:0004812"
"Synechocystis","sll0495","Molecular Function","asparagine-tRNA ligase activity","GO:0004816"
"Synechocystis","sll0495","Molecular Function","aspartate-tRNA ligase activity","GO:0004815"
"Synechocystis","sll0495","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","sll0495","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0379","Biological Process","lipid biosynthetic process","GO:0008610"
"Synechocystis","sll0379","Molecular Function","acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity","GO:0008780"
"Synechocystis","sll0379","Molecular Function","transferase activity","GO:0016740"
"Synechocystis","sll0401","Biological Process","cellular carbohydrate metabolic process","GO:0044262"
"Synechocystis","sll0401","Biological Process","tricarboxylic acid cycle","GO:0006099"
"Synechocystis","sll0401","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0401","Molecular Function","transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer","GO:0046912"
"Synechocystis","sll0450","Biological Process","aerobic respiration","GO:0009060"
"Synechocystis","sll0450","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","sll0450","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","sll0450","Molecular Function","heme binding","GO:0020037"
"Synechocystis","sll0450","Molecular Function","iron ion binding","GO:0005506"
"Synechocystis","sll0482","Biological Process","lipid metabolic process","GO:0006629"
"Synechocystis","sll0482","Molecular Function","triglyceride lipase activity","GO:0004806"
"Synechocystis","sll0555","Biological Process","cellular process","GO:0009987"
"Synechocystis","sll0555","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0555","Molecular Function","aminopeptidase activity","GO:0004177"
"Synechocystis","sll0555","Molecular Function","metalloexopeptidase activity","GO:0008235"
"Synechocystis","sll0587","Biological Process","glycolysis","GO:0006096"
"Synechocystis","sll0587","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0587","Molecular Function","magnesium ion binding","GO:0000287"
"Synechocystis","sll0587","Molecular Function","potassium ion binding","GO:0030955"
"Synechocystis","sll0587","Molecular Function","pyruvate kinase activity","GO:0004743"
"Synechocystis","sll0522","Biological Process","ATP synthesis coupled electron transport","GO:0042773"
"Synechocystis","sll0522","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0522","Molecular Function","oxidoreductase activity, acting on NADH or NADPH","GO:0016651"
"Synechocystis","sll0541","Biological Process","lipid metabolic process","GO:0006629"
"Synechocystis","sll0541","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0541","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0541","Molecular Function","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","GO:0016717"
"Synechocystis","sll0626","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0631","Biological Process","NAD biosynthetic process","GO:0009435"
"Synechocystis","sll0631","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0631","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0631","Molecular Function","L-aspartate oxidase activity","GO:0008734"
"Synechocystis","sll0631","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","sll0631","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0634","Biological Process","thiamin biosynthetic process","GO:0009228"
"Synechocystis","sll0634","Molecular Function","thiamin-phosphate diphosphorylase activity","GO:0004789"
"Synechocystis","sll0635","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0635","Biological Process","thiamin biosynthetic process","GO:0009228"
"Synechocystis","sll0635","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0635","Molecular Function","thiamin-phosphate diphosphorylase activity","GO:0004789"
"Synechocystis","sll0639","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0639","Molecular Function","manganese ion binding","GO:0030145"
"Synechocystis","sll0640","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0640","Biological Process","potassium ion transport","GO:0006813"
"Synechocystis","sll0640","Biological Process","sodium ion transport","GO:0006814"
"Synechocystis","sll0640","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","sll0640","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0640","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0640","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0640","Molecular Function","cation transmembrane transporter activity","GO:0008324"
"Synechocystis","sll0640","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0643","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0643","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0643","Molecular Function","nickel ion binding","GO:0016151"
"Synechocystis","sll0643","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0643","Molecular Function","nucleotide binding","GO:0000166"
